Id   |Name                                 |!|Country                                   |Sponsor                                                              |Host                                                    |Distance  |Latency
6785 |Krosno                               |+|Poland                                    |Stimo                                                                |193.192.176.222:8080                                    |164731.8  |0
8409 |Krosno                               |+|Poland                                    |IT Systematic Group                                                  |sp.systematic.pl:8080                                   |164731.8  |0
16541|Snina                                |+|Slovakia                                  |.belNET                                                              |speedtest.belnet.sk:8080                                |165459.0  |0
4996 |Nowa Deba                            |+|Poland                                    |HLG Sp. z o.o.                                                       |speedtest1.hlg.com.pl:8080                              |174202.0  |0
9740 |Ropczyce                             |+|Poland                                    |TELNET Ropczyce                                                      |speedtest1.r-ce.pl:8080                                 |174824.3  |0
7952 |Krasnik                              |+|Poland                                    |Instalnet Szabat Rydzewski Sp. J.                                    |speedtest.instalnet.pl:8080                             |176806.5  |0
21899|Zabolotiv                            |+|Ukraine                                   |ArslanNet LTD                                                        |speedtest.arslannet.net.ua:8080                         |177586.1  |0
18548|Świdnik                              |+|Poland                                    |Swidman s.c.                                                         |speedtest1.swidman.pl:8080                              |179501.7  |0
2558 |Rivne                                |+|Ukraine                                   |Campus Networks                                                      |test.campus-rv.net:8080                                 |180112.0  |0
23280|Leczna                               |+|Poland                                    |Mik-Net                                                              |imik.pl:8080                                            |181280.2  |0
9648 |Uzhgorod                             |+|Ukraine                                   |KRAM                                                                 |st01.kram.ua:8080                                       |185420.5  |0
3022 |Uzhgorod                             |+|Ukraine                                   |TransCom                                                             |speedtest.tcom.uz.ua:8080                               |185420.5  |0
18869|Lublin                               |+|Poland                                    |Orange Polska S.A.                                                   |lub-o1.speedtest.orange.pl:8080                         |186135.1  |0
7129 |Lublin                               |+|Poland                                    |Enterpol                                                             |speed.enterpol.pl:8080                                  |186135.1  |0
878  |Lublin                               |+|Poland                                    |VIP-Net                                                              |speedtest.vip-net.pl:8080                               |186135.1  |0
25702|Lublin                               |+|Poland                                    |Wirtualne Powiaty 3                                                  |speedtest2.wirtualnepowiaty.pl:8080                     |186135.1  |0
18661|Svidnik                              |+|Slovakia                                  |ELKVANT                                                              |stest1.elkvant.sk:8080                                  |187319.1  |0
10858|Debica                               |+|Poland                                    |MULTINET 24 SP Z O.O.                                                |testpredkosci.multinet24.pl:8080                        |188445.2  |0
3670 |Debica                               |+|Poland                                    |inhost.pro                                                           |speed.ihst.pl:8080                                      |188445.2  |0
1590 |Mielec                               |+|Poland                                    |WDM Sp. z o.o.                                                       |speedtest.wdm.pl:8080                                   |192912.9  |0
6306 |Mielec                               |+|Poland                                    |FPUH Czajen                                                          |speedtest.czajen.pl:8080                                |192912.9  |0
7600 |Wlodawa                              |+|Poland                                    |EFEKT-SERWIS                                                         |speedtest.wlodawa.pl:8080                               |193007.2  |0
7901 |Wlodawa                              |+|Poland                                    |Telekomunikacja Wschod sp. z o.o.                                    |178.216.24.29:8080                                      |193007.2  |0
23573|Giraltovce                           |+|Slovakia                                  |MCOM-NET s.r.o.                                                      |vhost4.mcom.sk:8080                                     |199055.4  |0
23572|Hanušovce nad Topľou                 |+|Slovakia                                  |MCOM-NET s.r.o.                                                      |vhost3.mcom.sk:8080                                     |204071.7  |0
23871|Bardejov                             |+|Slovakia                                  |Proxis, spol. s r.o.                                                 |speedtest.proxisnet.sk:8080                             |207819.5  |0
5501 |Beregovo                             |+|Ukraine                                   |TRC Studio TV-9 Beregsasom                                           |91.224.178.3:80                                         |209216.6  |0
23399|Raslavice                            |+|Slovakia                                  |MCOM-NET s.r.o.                                                      |vhost1.mcom.sk:8080                                     |210591.3  |0
16459|Trebisov                             |+|Slovakia                                  |E-MAX INTERNET & IT s.r.o.                                           |speed2-tv.e-max.sk:8080                                 |215608.6  |0
21523|Khmelnitsky                          |+|Ukraine                                   |Magicom                                                              |speedtest.magicom.net.ua:8080                           |218306.6  |0
9812 |Tarnow                               |+|Poland                                    |Tellion                                                              |sp1.tellion.pl:8080                                     |218780.0  |0
15531|Khmelnitskiy                         |+|Ukraine                                   |Khmelnitskinfocom LTD                                                |spt.ic.km.ua:8080                                       |219378.7  |0
4771 |Khmelnytskyi                         |+|Ukraine                                   |Global technology of Ukraine, LLC                                    |speedtest.gtu.net.ua:8080                               |219378.7  |0
22130|Khmelnitskiy                         |+|Ukraine                                   |GMhost                                                               |speedtest.gmhost.com.ua:8080                            |219378.7  |0
17985|Khmelnitskiy                         |+|Ukraine                                   |Happy.net.ua                                                         |speedtest2.gtu.net.ua:8080                              |219378.7  |0
6330 |Khmelnitskiy                         |+|Ukraine                                   |"X-City" Ltd.                                                        |speedtest0.x-city.ua:8080                               |219378.7  |0
5766 |Chernivtsi                           |+|Ukraine                                   |Alpha Group                                                          |speedtest1.alpha.cv.ua:8080                             |220793.0  |0
19332|Chernivtsi                           |+|Ukraine                                   |C.T.Net LTD                                                          |speedtest.ctn.cv.ua:8080                                |220793.0  |0
6291 |Chernivtsi                           |+|Ukraine                                   |Intelekt Group                                                       |spdt.intelekt.cv.ua:8080                                |220793.0  |0
25643|Chernivtsi                           |+|Ukraine                                   |LANGATE                                                              |ooklaspeedtest.langate.ua:8080                          |220793.0  |0
3076 |Chernivtsi                           |+|Ukraine                                   |DSS Group                                                            |speedtest.dss-group.net:8080                            |220793.0  |0
9775 |Presov                               |+|Slovakia                                  |ITcity                                                               |speedtest1.itcity.sk:8080                               |222504.7  |0
23121|Kamenets-Podolskiy                   |+|Ukraine                                   |CrazyNetwork                                                         |ott.crazy.net.ua:8080                                   |225058.6  |0
23082|Kisvárda                             |+|Hungary                                   |Naracom Kft.                                                         |speedtest.naracom.hu:8080                               |229933.6  |0
7978 |Zakliczyn                            |+|Poland                                    |KM-NET.PL                                                            |speedtest.km-net.pl:8080                                |230464.4  |0
691  |Kosice                               |+|Slovakia                                  |ANTIK Telecom                                                        |speedtest.antik.sk:8080                                 |236761.2  |0
23365|Brzesko                              |+|Poland                                    |Climax NET                                                           |speedtest.climaxnet.pl:8080                             |245851.7  |0
21672|Brzesko                              |+|Poland                                    |Netsystem                                                            |speedtest.netsystem.net.pl:8080                         |245851.7  |0
21191|Bodzentyn                            |+|Poland                                    |INTB Sp. z o.o.                                                      |test.intb.pl:8080                                       |249830.0  |0
5851 |Biala Podlaska                       |+|Poland                                    |TAU INTERNET sp. z o.o.                                              |speedtest.tau.pl:8080                                   |251771.3  |0
22823|Biała Podlaska                       |+|Poland                                    |FURORA.PL (LIQUID SYSTEMS Sp. z o.o.)                                |speedtest1.furora.pl:8080                               |252158.4  |0
